site_name,latitude,longitude,geometry_type,coordinate_status,source_name,source_url,coordinate_lookup_url,source_coordinate_text,confidence,notes
Acari Valley,-15.4311111,-74.6158333,Point,representative,"Bodies of evidence : human decapitation during the early intermediate period in the Acari Valley, south coast, Peru",https://doi.org/10.14288/1.0058405,https://en.wikipedia.org/wiki/Acar%C3%AD_District,Representative coordinate for Acari town in the Acari Valley,medium,Valley-level representative point based on Acari town.
Alto del Molino,-13.71000000,-76.20000000,Point,representative,"The First Field Season of Excavations at the Alto del Molino Site, Pisco Valley, Peru",https://doi.org/10.1179/jfa.1997.24.4.441,"https://en.wikipedia.org/wiki/Pisco,_Peru","-13.71, -76.2",medium,Representative coordinate in the Pisco urban-valley area for Alto del Molino.
Cahuachi,-14.818611,-75.116667,Point,exact,Cahuachi: Non-Urban Cultural Complexity on the South Coast of Peru,https://doi.org/10.1179/jfa.1988.15.4.403,https://commons.wikimedia.org/wiki/Category:Cahuachi,14°49′07″S 75°07′00″W,high,Direct coordinate for the Cahuachi archaeological complex.
Cerro Baul,-17.11211500,-70.85881000,Point,exact,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",https://doi.org/10.1002/oa.1157,https://en.wikipedia.org/wiki/Cerro_Ba%C3%BAl,17°6′43.614″S 70°51′31.716″W,high,Direct coordinate for Cerro Baul.
Cerro Mejia,-17.095,-70.8558,Point,exact,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",https://doi.org/10.1002/oa.1157,https://mapasamerica.dices.net/peru/mapa.php?id=34003&nombre=Cerro-Mejia,Latitud: -17.095 Longitud: -70.8558,high,Direct coordinate for Cerro Mejia.
Chachapoya,-6.426295,-77.9271134,Point,representative,Survey of a Peruvian Archaeological Site Using LiDAR and Photogrammetry: A Contribution to the Study of the Chachapoya,https://doi.org/10.1007/978-3-030-86979-3_43,https://en.wikipedia.org/wiki/Ku%C3%A9lap,"-6.426295, -77.9271134",medium,"Representative coordinate using Kuélap, the best-known monumental Chachapoya site."
Chachapoyas,-6.217,-77.850,Point,exact,"Lasers Without Lost Cities: Using Drone Lidar to Capture Architectural Complexity at Kuelap, Amazonas, Peru",https://doi.org/10.1080/00934690.2020.1713287,"https://en.wikipedia.org/wiki/Chachapoyas,_Peru",6°13′S 77°51′W,high,City coordinate for Chachapoyas.
Chiribaya Baja,-17.6458583,-71.3453139,Point,representative,"Techniques of DNA-studies on prehispanic ectoparasites (Pulex sp., Pulicidae, Siphonaptera) from animal mummies of the Chiribaya Culture, Southern Peru",https://doi.org/10.1590/s0074-02762003000900010,"https://en.wikipedia.org/wiki/Ilo,_Peru",Representative coordinate near Ilo for coastal Chiribaya Baja,medium,Representative lower-valley coastal coordinate near Ilo for Chiribaya Baja.
Huaca Prieta,-7.924,-79.307,Point,exact,"A late pleistocene human presence at Huaca Prieta, Peru, and early Pacific Coastal adaptations",https://doi.org/10.1016/j.yqres.2012.02.003,https://en.wikipedia.org/wiki/Huaca_Prieta,"-7.924, -79.307",high,Direct coordinate for Huaca Prieta.
Ica,-14.06666667,-75.73333333,Point,exact,"Cerrillos, an Early Paracas Site in ICA, Peru",https://doi.org/10.2307/277797,"https://en.wikipedia.org/wiki/Ica,_Peru","-14.06666667, -75.73333333",high,City coordinate used for the Ica site mention.
Intihuatana,-13.16333333,-72.54555556,Point,representative,Solutions and limitations of the geomatic survey of an archaeological site in hard to access areas with a latest generation smartphone: the example of the Intihuatana stone in Machu Picchu (Peru),https://doi.org/10.21014/acta_imeko.v11i1.1117,https://en.wikipedia.org/wiki/Machu_Picchu,Representative coordinate within Machu Picchu,medium,Representative coordinate for the Intihuatana stone within Machu Picchu.
Jauranga,-14.54662,-75.20471,Point,exact,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,https://doi.org/10.1017/s0033822200042466,https://mapcarta.com/20221136,"-14.54662, -75.20471",high,Direct coordinate for Jauranga hamlet/site area near Palpa.
Kilometer 4,-17.6458583,-71.3453139,Point,representative,"Differences in <sup>14</sup>C Age Between Stratigraphically Associated Charcoal and Marine Shell from the Archaic Period Site of Kilometer 4, Southern Peru: Old Wood or Old Water?",https://doi.org/10.1017/s0033822200064663,"https://en.wikipedia.org/wiki/Ilo,_Peru",Representative coordinate for the Ilo area on the extreme south coast of Peru,medium,Representative coastal coordinate for the Kilometer 4 site in the Ilo area.
Kuelap,-6.426295,-77.9271134,Point,exact,"Lasers Without Lost Cities: Using Drone Lidar to Capture Architectural Complexity at Kuelap, Amazonas, Peru",https://doi.org/10.1080/00934690.2020.1713287,https://en.wikipedia.org/wiki/Ku%C3%A9lap,"-6.426295, -77.9271134",high,Direct coordinate for Kuélap.
La Muña,-14.5201,-75.2015,Point,representative,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,https://doi.org/10.1017/s0033822200042466,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=245,Site on the right bank of the Rio Grande valley near Palpa; representative Rio Grande district coordinate,medium,Representative Rio Grande district coordinate for La Muña.
Los Molinos,-14.5339333,-75.2225000,Point,approximate,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,https://doi.org/10.1017/s0033822200042466,https://en.wikipedia.org/wiki/Palpa_province,Approx. 4 km west of Palpa near the confluence of the Rio Grande and Palpa rivers,medium,Approximate site coordinate derived from Palpa province description.
Machu Picchu,-13.16333333,-72.54555556,Point,exact,Solutions and limitations of the geomatic survey of an archaeological site in hard to access areas with a latest generation smartphone: the example of the Intihuatana stone in Machu Picchu (Peru),https://doi.org/10.21014/acta_imeko.v11i1.1117,https://en.wikipedia.org/wiki/Machu_Picchu,"-13.16333333, -72.54555556",high,Direct coordinate for Machu Picchu.
Moquegua,-17.2,-70.93333333,Point,exact,"The Spanish colonial wineries of Moquegua, Peru",https://doi.org/10.1007/bf03374107,https://en.wikipedia.org/wiki/Moquegua,"-17.2, -70.93333333",high,City coordinate used for Moquegua site mentions.
Nazca lines,-14.697500,-75.135000,Point,exact,"A 2,300-year-old architectural and astronomical complex in the Chincha Valley, Peru",https://doi.org/10.1073/pnas.1406501111,https://en.wikipedia.org/wiki/Nazca_lines,14°41′51″S 75°08′06″W,high,Direct site coordinate for the Nazca geoglyph field.
Osmore Valley,-17.20000000,-70.93333333,Point,representative,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",https://doi.org/10.1002/oa.1157,https://en.wikipedia.org/wiki/Osmore_River,Representative mid-valley coordinate in Moquegua/Osmore drainage,medium,Representative coordinate for the mid Osmore Valley archaeological zone.
Palpa lines,-14.596568,-75.194949,Point,exact,A 3D-model of the Nasca lines at Palpa (Peru),http://hdl.handle.net/20.500.11850/147649,https://commons.wikimedia.org/wiki/Category:Palpa_lines,14°35′47.64″S 75°11′41.82″W,high,Direct coordinate for the Palpa geoglyph field.
Pampa Grande,-6.76256,-79.47396,Point,exact,Pampa Grande and the Mochica Culture,https://doi.org/10.7560/776746,https://mapcarta.com/19733674,"-6.76256, -79.47396",high,Direct coordinate for Pampa Grande archaeological site.
Paracas Peninsula,-13.85888889,-76.32888889,Point,exact,"Ecología de Phyllodactylus angustidigitus y P. gerrhopygus (Squamata: Phyllodactylidae) de la Reserva Nacional de Paracas, Perú",https://doi.org/10.15381/rpb.v18i2.232,https://en.wikipedia.org/wiki/Paracas_Peninsula,"-13.85888889, -76.32888889",high,Peninsula coordinate for the Paracas site area.
Pernil Alto,-14.492,-75.216,Point,exact,A Chronology of the Pre-Columbian Paracas and Nasca Cultures in South Peru Based on AMS <sup>14</sup>C Dating,https://doi.org/10.1017/s0033822200042466,https://xronos.ch/sites/52722,"014.492° S, 075.216° W",high,Direct coordinate from XRONOS site record for Pernil Alto PAP-266.
Pinchango Alto,-14.4808333,-75.1758333,Point,exact,"Combining photogrammetry and laser scanning for the recording and modelling of the Late Intermediate Period site of Pinchango Alto, Palpa, Peru",https://doi.org/10.1016/j.jas.2006.12.008,https://tierra.tutiempo.net/peru/cerro-pinchango-pe047904.html,"14°28'50.99""S 75°10'32.98""W",medium,Representative hilltop coordinate for the upper Pinchango Alto site on Cerro Pinchango.
Piramide Naranjada,-14.818611,-75.116667,Point,representative,"New discoveries in the Piramide Naranjada in Cahuachi (Peru) using satellite, Ground Probing Radar and magnetic investigations",https://doi.org/10.1016/j.jas.2010.12.010,https://www.sciencedirect.com/science/article/abs/pii/S0305440310004474,Mound within the Cahuachi complex; representative Cahuachi coordinate,medium,Representative coordinate within the Cahuachi complex for Piramide Naranjada.
Pisco Valley,-13.71000000,-76.20000000,Point,representative,"The First Field Season of Excavations at the Alto del Molino Site, Pisco Valley, Peru",https://doi.org/10.1179/jfa.1997.24.4.441,"https://en.wikipedia.org/wiki/Pisco,_Peru","-13.71, -76.2",medium,Representative coordinate for the Pisco Valley study area.
Pista,-14.5339333,-75.1854833,Point,representative,"High Resolution Drone Surveying of the Pista Geoglyph in Palpa, Peru",https://doi.org/10.3390/geosciences8120479,https://www.mdpi.com/2076-3263/8/12/479,Few kilometers from Palpa city; representative Palpa coordinate,medium,Representative coordinate for the Pista geoglyph near Palpa.
Rio Grande de Nazca,-14.5201,-75.2015,Point,representative,"Bodies of evidence : human decapitation during the early intermediate period in the Acari Valley, south coast, Peru",https://doi.org/10.14288/1.0058405,"https://en.wikipedia.org/wiki/R%C3%ADo_Grande_District,_Palpa","-14.5201, -75.2015",medium,District-level representative coordinate for the Rio Grande de Nazca area.
Sama,-17.865,-70.5621,Point,representative,"PREHISPANIC PRESENCE, SETTLEMENT PATTERNS AND ECOLOGICAL COMPLEMENTARITY IN THE LOMAS OF THE SAMA VALLEY, TACNA, PERU",https://doi.org/10.4067/s0717-73562019005001201,https://en.wikipedia.org/wiki/Sama_District,"-17.865, -70.5621",medium,District-level representative coordinate for Sama Valley mentions.
Torata Alta,-17.07666,-70.82822,Point,exact,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",https://doi.org/10.1002/oa.1157,https://mapcarta.com/N3404140596,"-17.07666, -70.82822",high,Direct coordinate for Torata Alta.
Yaral,-17.14944,-70.92444,Point,exact,"Isotopic evidence for Middle Horizon to 16th century camelid herding in the Osmore Valley, Peru",https://doi.org/10.1002/oa.1157,https://mapcarta.com/20250456,"-17.14944, -70.92444",high,Direct coordinate for El Yaral / Yaral.
