name,lat,lon,pop
Zorritos,-3.68046,-80.67819,12261
Yurimaguas,-5.90181,-76.12234,41827
Yungay,-9.13833,-77.74361,5269
Yauya,-8.99135,-77.29147,9092
Viru,-8.41554,-78.75201,20774
Vice,-5.41667,-80.78333,12915
Uchiza,-8.45917,-76.46333,17742
Tumbes,-3.55592,-80.44258,96946
Tucume,-6.50637,-79.85725,7043
Trujillo,-8.11599,-79.02998,919899
Tocache,-8.1877,-76.52046,29029
Tingo Maria,-9.29532,-75.99574,53177
Tambo Grande,-4.92694,-80.34472,30033
Talara,-4.57722,-81.27194,99074
Tablazo Norte,-5.38398,-80.7641,4303
Tabalosos,-6.35,-76.68333,14744
Sullana,-4.90389,-80.68528,160789
Soritor,-6.13917,-77.10389,10858
Sechura,-5.55694,-80.82222,23020
Saquena,-4.66667,-73.51667,4362
Saposoa,-6.93395,-76.77158,14894
Santiago de Chuco,-8.14099,-78.17329,6759
Santiago de Cao,-7.95889,-79.23917,21982
Santa Rosa,-6.75772,-79.82747,10625
Santa Cruz De Succhabamba,-6.62501,-78.94576,4660
San Pedro de Lloc,-7.4289,-79.50416,16250
San Lucas ( Pueblo Nuevo de Colan),-4.90874,-81.05686,9874
San Juan,-3.77611,-73.28139,78153
Sisa,-6.61085,-76.69302,9477
San Jose,-6.73813,-79.8275,7434
San Ignacio,-5.14583,-79.00139,7912
Sana,-6.91888,-79.582,39200
Salitral,-4.85722,-80.68111,5385
Salinera Colan,-5.03333,-81.06667,14210
Salaverry,-8.221,-78.97698,10066
Rioja,-6.05675,-77.16651,25057
Reque,-6.86556,-79.81778,9808
Ramon Castilla,-4.26066,-69.95714,5495
Quiruvilca,-7.96667,-78.2,9226
Querecotillo,-4.83778,-80.64556,25396
Puerto Santa,-8.98979,-78.64603,14066
Pueblo Nuevo,-7.18806,-79.51528,5766
Pueblo Nuevo,-5.71667,-79.88333,12471
Pucallpa,-8.37915,-74.55387,326040
Hacienda Pucala,-6.77919,-79.60258,6277
Pomabamba,-8.83333,-77.46667,4453
Piura,-5.18192,-80.65715,484475
Pimentel,-6.83667,-79.93417,15552
Picsi,-6.71778,-79.76972,43610
Picota,-6.92033,-76.33142,6697
Patapo,-6.73315,-79.6359,15270
Paita,-5.08917,-81.11444,56151
Paijan,-7.73291,-79.3015,21128
Pacasmayo,-7.40056,-79.57139,29165
Pacanga,-7.16667,-79.5,8750
Oyotun,-6.84438,-79.30093,6330
Otuzco,-7.9,-78.58333,10134
Olmos,-5.98472,-79.74528,9800
Nauta,-4.50561,-73.58026,14646
Moyobamba,-6.03441,-76.97423,50073
Motupe,-6.15194,-79.71417,13681
Morropon,-5.1868,-79.97076,12307
Morrope,-6.53536,-80.01104,6662
Monsefu,-6.87431,-79.86871,25707
Mochumi,-6.54364,-79.86217,7460
Moche,-8.17111,-79.00917,22581
La Matanza,-5.21334,-80.09149,5828
Marcavelica,-4.87778,-80.70528,25645
Mancora,-4.10778,-81.0475,9101
Llata,-9.41667,-76.78333,4585
La Union,-9.82702,-76.80199,4788
La Union,-5.40232,-80.74224,34834
Las Lomas,-4.65333,-80.24667,9450
Laredo,-8.08965,-78.9602,24691
La Peca,-5.61111,-78.435,27045
Lambayeque,-6.70111,-79.90611,43710
Lamas,-6.41667,-76.53333,13693
La Legua - San Jacinto,-5.23584,-80.65928,7548
Huangala,-4.84147,-80.59948,3739
La Huaca,-4.91167,-80.96,8468
Lagunas,-5.22694,-75.67528,9197
Juanjui,-7.17697,-76.72774,37715
Jepelacio,-6.11667,-76.95,7150
Jayanca,-6.39083,-79.82194,6126
Jaen,-5.70729,-78.80785,52493
Iquitos,-3.74814,-73.2529,377609
Huicungo,-7.3186,-76.77556,6757
Huari,-9.34718,-77.17072,4406
Huaraz,-9.52614,-77.52869,118836
Huanuco,-9.92882,-76.23989,196627
Huancabamba,-5.23861,-79.45056,8553
Huamachuco,-7.8,-78.06667,21768
Guadalupe,-7.25,-79.48333,25376
Florida ( Pomacochas),-5.82582,-77.96961,3570
Ferrenafe,-6.63889,-79.78889,34357
Eten,-6.90806,-79.86417,13693
San Antonio del Estrecho,-2.45012,-72.66896,8000
El Alto,-4.26851,-81.21719,9303
Contamana,-7.33333,-75.01667,13885
Coishco,-9.02306,-78.61556,15083
Chulucanas,-5.0925,-80.1625,68835
Chota,-6.55,-78.65,14240
Chongoyape,-6.64056,-79.38917,16061
Chocope,-7.79139,-79.22167,32370
Chimbote,-9.07508,-78.59373,316966
Chiclayo,-6.77008,-79.85495,552508
Chicama,-7.84472,-79.14694,14915
Chepen,-7.22436,-79.42476,41992
Chazuta,-6.57087,-76.13753,8029
Chachapoyas,-6.23169,-77.86903,32026
Celendin,-6.86544,-78.14552,14660
Catacaos,-5.26667,-80.68333,57304
Cascas,-7.48333,-78.81667,4299
Carhuaz,-9.28194,-77.64472,5044
Caraz,-9.04849,-77.81005,10926
Cajaruro,-5.73639,-78.42556,7281
Cajamarca,-7.16378,-78.50027,201329
Cajabamba,-7.61667,-78.05,13486
Buenos Aires,-5.2671,-79.96759,7932
Bernal,-5.45,-80.75,5916
Bellavista,-7.05614,-76.5911,15231
Bellavista,-5.66553,-78.67908,6320
Barranca,-4.83298,-76.67582,5779
Bambamarca,-6.68333,-78.53333,13351
Bagua Grande,-5.75611,-78.44111,20382
Ayabaca,-4.63983,-79.71491,5270
Ascope,-7.71444,-79.10778,14015
Aguaytia,-9.03778,-75.50906,18318
Aguas Verdes,-3.48139,-80.245,9106
Campo Verde,-8.47562,-74.8063,8945
La Breita,-4.25691,-80.88599,17693
Papayal,-4.07771,-80.7369,5484
Zarumilla,-3.50306,-80.27306,16907
Belen,-3.76016,-73.2497,57824
Yura,-16.25223,-71.67969,5686
Yunguyo,-16.25,-69.08333,16140
Yauri,-14.79083,-71.40986,23867
Yanaoca,-14.21806,-71.43167,3913
Yanahuanca,-10.51667,-76.49861,5992
Yanacancha,-10.24111,-76.64556,23175
Vizcachane,-15.80861,-71.20111,4407
Tupac Amaru,-13.71135,-76.1498,11159
Villa Rica,-10.73944,-75.26972,7448
Vegueta,-11.02253,-77.64378,6219
Urubamba,-13.30472,-72.11583,7540
Urcos,-13.68611,-71.62278,5479
Tungasuca,-14.16389,-71.47667,3791
Torata,-17.07694,-70.84333,7054
Tinyahuarco,-10.76771,-76.27523,5066
Tinta,-14.145,-71.40694,3466
Tarma,-11.41899,-75.68992,51350
Tarata,-17.47444,-70.03278,3052
Taquile,-15.76667,-69.68333,2000
Tambopata,-12.67191,-69.35547,38966
Tambo,-14.79847,-73.92438,5032
Talavera,-13.65306,-73.42917,7381
Tacna,-18.01465,-70.25362,286240
Santiago de Surco,-12.13588,-77.00742,251648
Supe,-10.7975,-77.71306,13719
Subtanjalla,-14.01889,-75.75806,9096
Sicuani,-14.26944,-71.22611,33575
Sicaya,-12.0152,-75.2801,6842
Sayan,-11.13333,-77.1946,6196
Satipo,-11.25222,-74.63861,15532
San Vicente de Canete,-13.07556,-76.38528,25517
Santiago,-14.18469,-75.71124,10449
Santa Rita de Siguas,-16.49555,-72.08667,4014
Santa Maria,-12.00538,-76.89329,14853
Santa Lucia,-15.69758,-70.60712,4320
Santa Ana,-12.86667,-72.71667,25145
San Ramon,-11.12417,-75.35733,14708
San Pedro de Cajas,-11.25061,-75.86116,5758
San Pablo,-14.20278,-71.31556,3486
San Miguel de Cauri,-10.13818,-76.62288,5326
San Miguel,-13.0125,-73.98083,8400
San Luis,-12.07674,-76.99435,8862
San Juan Bautista,-14.01083,-75.73583,6871
San Juan,-15.36528,-75.16222,12795
San Jeronimo,-13.65138,-73.36388,5609
San Jeronimo De Tunan,-11.95591,-75.28411,8772
San Isidro,-12.09655,-77.04258,68309
Sandia,-14.32141,-69.4654,3675
San Clemente,-13.66667,-76.15,15815
San Bartolo,-12.38333,-76.78333,5733
San Agustin,-11.99024,-75.24421,5998
Rio Grande,-14.516,-75.19933,4689
Ricardo Palma,-11.91978,-76.6561,4842
Quilmana,-12.9486,-76.38112,6442
Quilahuani,-17.31802,-70.25848,3176
Putina,-15.47506,-69.43056,8118
Puquio,-14.7,-74.13333,10491
Punta de Bombon,-17.1719,-71.7924,6336
Puno,-15.84003,-70.02198,128637
Pujocucho,-17.15364,-70.35651,4120
Supe Puerto,-10.80135,-77.74333,11450
Puerto Maldonado,-12.58946,-69.19948,85024
Pucara,-15.97993,-71.45988,4335
Pisco,-13.71029,-76.20538,61869
Pisac,-13.4225,-71.84667,2000
Pilcomayo,-12.04722,-75.24931,8169
Pichari,-12.5,-73.81667,10655
Perene,-10.9489,-75.22645,6844
Pativilca,-10.7,-77.78333,13583
Paramonga,-10.66667,-77.83333,27631
Pangoa,-12.11667,-73.0,6638
Pampas,-12.39875,-74.86846,5521
Pampamarca,-14.14639,-71.45944,3811
Pampa de Tate,-14.1453,-75.69179,5180
Palpa,-14.53361,-75.18556,5883
Pacocha,-17.64604,-71.34481,7588
Oyon,-10.66846,-76.77165,6276
Oxapampa,-10.5775,-75.40167,12000
Oropesa,-13.59454,-71.7636,4022
Orcotuna,-11.96886,-75.3078,4199
Orcopampa,-15.26611,-72.34167,5643
Ollantaytambo,-13.25722,-72.26306,2000
Nunoa,-14.4775,-70.63642,4271
Nuevo Imperial,-13.07541,-76.31719,32344
Asentamiento Humano Nicolas de Pierola,-11.93573,-76.70611,5800
Nazca,-14.83098,-74.93895,23556
Morococha,-11.58779,-76.06323,7890
Moquegua,-17.19747,-70.93587,69882
Mollendo,-17.02306,-72.01472,28953
Miraflores,-12.11331,-77.03274,187401
Mazamari,-11.32583,-74.53083,6826
Matucana,-11.85,-76.4,4517
Minas de Marcona,-15.21194,-75.11028,15478
Marangani,-14.35672,-71.16924,3709
Mala,-12.65806,-76.63083,17260
Macusani,-14.08333,-70.43333,6044
Machupicchu,-13.15549,-72.52416,4446
Los Aquijes,-14.09667,-75.69083,7848
Lluta,-16.01472,-72.01417,5998
Lima,-12.04318,-77.02824,7737002
Layo,-14.49361,-71.155,3978
La Oroya,-11.51893,-75.89935,33345
Langui,-14.43194,-71.27306,3969
Lampa,-15.35,-70.36667,4780
Junin,-11.15895,-75.99304,15320
Juliaca,-15.5,-70.13333,245675
Juli,-16.21667,-69.45,7309
Villa Poeta Jose Galvez Barrenechea,-12.21312,-76.90522,61000
Jauja,-11.77584,-75.49656,21057
Jatun Orcochiri,-15.75003,-71.34641,4358
Islay (Matarani),-16.9961,-72.1011,4823
Independencia,-11.99,-77.04583,3987
Imperial,-13.05927,-76.35269,32344
Ilo,-17.63185,-71.34108,53476
Ilave,-16.08333,-69.66667,16033
Ilabaya,-17.42072,-70.51276,9492
Ica,-14.07538,-75.73422,282407
Iberia,-11.40613,-69.49267,4386
Huayucachi,-12.13822,-75.22317,5827
Huaura,-11.07,-77.59944,20723
Huasahuasi,-11.26527,-75.64722,5146
Huarmey,-10.06806,-78.15222,16172
Huaral,-11.495,-77.20778,62174
Huanta,-12.93333,-74.25,18627
Huancayo,-12.06866,-75.21027,456250
Huancavelica,-12.78691,-74.97298,49570
Huancane,-15.82239,-70.88565,7831
Hualmay,-11.09639,-77.61389,26658
Huacho,-11.11718,-77.60584,54545
Desaguadero,-16.56609,-69.042,5329
Cusco,-13.53188,-71.96701,428450
Coracora,-15.03333,-73.78333,7420
Concepcion,-11.91762,-75.31401,11330
Combapata,-14.10111,-71.42944,3472
Cocachacra,-17.08833,-71.7575,8799
Chupaca,-12.06667,-75.28333,9877
Chosica,-11.94306,-76.70944,88606
Chivay,-15.63833,-71.60111,4543
Chincha Alta,-13.40985,-76.13235,153076
Chilca,-12.52111,-76.73722,12884
Checca,-14.47351,-71.39426,3810
Checacupe,-14.02694,-71.45278,3440
Chaupimarca,-10.40696,-76.46168,28666
Chancay,-11.57139,-77.26722,26958
Cerro de Pasco,-10.66577,-76.25309,58899
Carhuamayo,-10.91667,-76.03333,9122
Candarave,-17.26778,-70.24944,3415
Camana,-16.62375,-72.71055,16434
Callao,-12.05162,-77.13452,1300000
Caleta de Carquin,-11.0925,-77.62667,5514
Calca,-13.33333,-71.95,9179
Barranco,-12.14297,-77.01862,37525
Barranca,-10.75,-77.76667,46290
Azangaro,-14.91416,-70.19846,13290
Ayna,-12.65,-73.91667,4588
Ayaviri,-14.88639,-70.58889,19310
Ayacucho,-13.1638,-74.22345,140033
Atuncolla,-15.68865,-70.14392,12654
Arequipa,-16.39899,-71.53747,1008290
Anta,-13.47056,-72.14833,5859
Andahuaylas,-13.65556,-73.38722,17444
Ambo,-10.13083,-76.20472,6865
Acolla,-11.73193,-75.54634,6805
Acari,-15.42393,-74.61361,4445
Abancay,-13.63426,-72.8838,72277
Mosoc Llacta,-14.12,-71.47278,3802
Santo Tomas,-14.44556,-72.08417,4134
Jacobo Hunter,-16.44083,-71.55333,46092
Huarancante,-15.76803,-71.45952,4638
Ccolo,-15.50611,-71.49184,3857
Huarichancara,-15.63972,-71.06111,4445
Llongasora,-15.63951,-71.29921,4753
Jayune,-15.56277,-71.30312,4256
Chuquitira,-17.28907,-70.04343,4220
Callanca,-14.18137,-71.1407,4046
Cullcuyre,-14.09272,-71.33119,3593
Cahuanuyo,-14.34147,-71.46311,3935
Ccaquiracunca,-14.27683,-71.45026,4098
Chignayhua,-14.2461,-71.44442,3912
Ccuntuma,-14.1254,-71.41216,3511
Lima Pampa,-14.08976,-71.33664,3569
Jayobamba,-14.09425,-71.33922,3593
Queromarca,-14.18391,-71.38343,3496
Qquea,-14.18273,-71.35774,3482
Conchopata,-14.46968,-71.19843,3977
Mosoc Cancha,-14.28514,-71.08773,4450
Huayna Alcalde,-14.26989,-71.09599,4298
Segunda Jerusalen - Azunguillo,-5.98917,-77.27694,6412
San Martin de Pangoa,-11.42854,-74.48834,16262
El Triunfo ( El Cruce),-16.49319,-71.85305,6386
Santa Rosa de Sacco,-11.55067,-75.94255,11257
La Rinconada,-14.63126,-69.44638,29678
Pedro Ruiz Gallo,-5.94527,-77.97993,5602
Santa Rosa,-12.68657,-73.73531,4702
Kimbiri,-12.61935,-73.78814,4369
Urb. Santo Domingo,-11.87655,-77.03345,5000
Paucartambo,-10.77326,-75.81109,4438
Santa Anita - Los Ficus,-12.05048,-76.97335,184614
San Martin,-5.18591,-80.66927,130000
San Francisco De Borja,-12.08911,-76.99876,105076
Ciudad Satelite,-16.43085,-71.52921,76410
Chilca,-12.08628,-75.20827,73371
San Fernando,-8.39818,-74.53774,67844
Jesus Maria,-12.06982,-77.04495,66171
Wanchaq,-13.52493,-71.96531,59134
Centenario,-9.51656,-77.53045,47581
Cono Norte,-16.32369,-71.58151,47347
Carmen De La Legua Reynoso,-12.05354,-77.09802,41863
La Banda,-6.49265,-76.34224,24932
Yanacancha,-10.66585,-76.25525,24105
El Pedregal,-16.36314,-72.1921,20063
Santa Rosa,-10.91908,-74.88496,18057
San Antonio,-17.21718,-70.92593,15633
Cono Norte,-16.30111,-71.61647,14542
Las Nazarenas,-13.15465,-74.21553,14316
Pilcomayo,-9.04728,-77.81092,13295
La Rinconada Ana Maria (La Rinconada),-14.63392,-69.44694,12183
La Pradera,-6.779,-79.886,10072
Miramar,-8.17945,-78.99381,9614
Ascencion,-12.78423,-74.98058,9086
Puente Viru,-8.42513,-78.78097,8995
Victor Raul,-8.40469,-78.82276,8369
Horacio Zeballos Gamez,-16.49181,-71.50731,8365
Huanchaquito Alto,-8.08791,-79.09746,7282
Selva Alegre,-16.37057,-71.52724,72696
Santiago,-13.52728,-71.9843,64075
Tabaloslos,-6.38559,-76.63342,7282
Fonavi,-14.03282,-75.73697,6654
San Jose De Sisa,-6.61375,-76.69309,6546
Paragsha- San Andres - Jose Carlos Mariategui,-10.67147,-76.27098,6316
Nuevo  Sullana,-4.92108,-80.72695,5484
Alto Salaverry,-8.1865,-78.98639,5014
Huepetuhe,-12.99475,-70.52508,4056
Paliannunas,-12.04038,-75.19134,4049
Huamancaca Chico,-12.07993,-75.24523,4019
Mazuko,-13.10012,-70.36736,3586
San Alejandro,-8.82936,-75.21326,3594
Cerro Verde,-16.45026,-71.61552,3602
Limoncarro,-7.3011,-79.4168,3758
Brena,-12.05605,-77.05295,81909
Puerto Rosario de Laberinto,-12.71732,-69.58694,3660
Castillo Grande,-9.27807,-76.00871,12438
